"Animal_ID","Group","Sex","Group_Age_Light","Age","Light","F_obj1_nose_frequency","F_obj1_nose_duration_s","F_obj1_nose_latency","F_obj1_nose_duration_percentage","F_obj2_nose_frequency","F_obj2_nose_duration_s","F_obj2_nose_latency","F_obj2_nose_duration_percentage","F_zone1_nose_frequency","F_zone1_nose_duration_s","F_zone1_nose_latency","F_zone1_nose_duration_percentage","F_zone2_nose_frequency","F_zone2_nose_duration_s","F_zone2_nose_latency","F_zone2_nose_duration_percentage","Q1_body_percentage","Q2_body_percentage","Q3_body_percentage","Q4_body_percentage","Group_Age_Sex","Age_new","Sex_new","Light_new"
"1","Old_M_CNT","M","Old_CNT","Old","CNT",10,5.87252,10.6106,0.978539,8,2.46913,40.1734,0.411431,20,5.00499,10.2769,0.833982,20,6.94025,4.13746,1.15646,21.0052,47.7038,21.4834,9.80763,"Old_Male","Old","Male","CTR"
"2","Mid_M_CNT","M","Mid_CNT","Mid","CNT",21,10.0767,0.133466,1.67908,23,18.6853,6.53985,3.11353,45,13.6803,0,2.27955,54,15.8825,6.40639,2.6465,28.1997,25.7089,21.5723,24.5191,"Mid_Male","Mid","Male","CTR"
"3","Mid_M_ISF","M","Mid_ISF","Mid","ISF",18,12.8795,0.266932,2.14611,32,22.5558,3.93726,3.75848,36,8.54185,0,1.42333,57,15.2819,3.67033,2.54643,16.9243,28.9781,23.2292,30.8685,"Mid_Male","Mid","Male","ISF"
"4","Old_M_CNT","M","Old_CNT","Old","CNT",6,6.33965,5.87252,1.05638,2,1.73506,13.5468,0.289114,12,4.53786,5.67232,0.756143,7,3.13646,13.4134,0.522629,5.89347,37.4625,48.471,8.17302,"Old_Male","Old","Male","CTR"
"5","Mid_M_ISF","M","Mid_ISF","Mid","ISF",11,13.2799,0,2.21283,16,19.6196,3.33666,3.26921,20,6.33965,0.133466,1.05638,33,7.00698,3.20319,1.16757,26.7319,25.4754,27.0989,20.6939,"Mid_Male","Mid","Male","ISF"
"6","Old_M_ISF","M","Old_ISF","Old","ISF",14,7.47412,1.8018,1.24541,19,11.5448,10.5438,1.92372,33,10.0767,1.4014,1.67908,39,10.3436,6.27292,1.72356,11.9982,27.11,40.6872,20.2046,"Old_Male","Old","Male","ISF"
"7","Old_M_ISF","M","Old_ISF","Old","ISF",15,4.93826,30.2969,0.822862,15,9.34265,10.2769,1.55677,43,16.9502,0.333666,2.82442,43,21.4881,10.01,3.58056,25.1974,14.8671,30.6349,29.3006,"Old_Male","Old","Male","ISF"
"8","Old_M_CNT","M","Old_CNT","Old","CNT",7,2.53586,13.6803,0.422598,4,2.43576,7.44075,0.405916,13,1.46813,13.5135,0.244663,8,0.800798,7.14045,0.133452,8.49088,47.7758,38.1951,5.53826,"Old_Male","Old","Male","CTR"
"9","Old_M_ISF","M","Old_ISF","Old","ISF",12,7.37402,39.0723,1.22887,13,3.50349,276.943,0.583852,22,3.23656,38.9055,0.539368,22,8.47512,276.843,1.41237,10.893,29.6541,37.0329,22.3143,"Old_Male","Old","Male","ISF"
"10","Mid_M_CNT","M","Mid_CNT","Mid","CNT",11,5.93926,194.928,0.989659,11,9.54285,171.104,1.59013,34,10.9442,8.54185,1.82364,25,8.00799,79.7462,1.33437,9.27388,55.2763,23.2403,12.2095,"Mid_Male","Mid","Male","CTR"
"11","Mid_M_ISF","M","Mid_ISF","Mid","ISF",30,17.4174,22.022,2.90226,10,5.60559,7.27392,0.93406,69,22.6893,5.00499,3.78072,24,4.27093,0.533865,0.711665,24.8749,23.2514,42.5887,9.285,"Mid_Male","Mid","Male","ISF"
"12","Mid_M_CNT","M","Mid_CNT","Mid","CNT",24,16.6166,18.018,2.7943,26,15.1484,11.0777,2.54741,41,5.80579,17.3506,0.976321,37,7.27392,10.9442,1.22321,25.1824,30.6812,21.4678,22.6686,"Mid_Male","Mid","Male","CTR"
"14","Old_M_ISF","M","Old_ISF","Old","ISF",11,4.80479,0.200199,0.800623,11,11.6116,5.60559,1.93484,16,2.33566,0,0.389192,19,2.002,5.47212,0.333593,25.1974,38.1297,20.794,15.879,"Old_Male","Old","Male","ISF"
"15","Old_M_CNT","M","Old_CNT","Old","CNT",7,6.07272,13.0797,1.0119,18,13.2799,0.800798,2.21283,15,1.66833,13.013,0.277994,27,8.60858,0.667332,1.43445,18.4477,36.1837,24.7303,20.6383,"Old_Male","Old","Male","CTR"
"16","Old_M_ISF","M","Old_ISF","Old","ISF",10,7.40738,108.308,1.23429,11,9.14245,5.67232,1.52341,22,4.60459,106.706,0.767263,19,4.13746,7.40738,0.689425,27.766,21.261,38.719,12.254,"Old_Male","Old","Male","ISF"
"17","Old_M_ISF","M","Old_ISF","Old","ISF",12,8.54185,1.06773,1.42333,11,7.54085,94.5609,1.25653,17,3.87052,0.934264,0.644946,19,3.00299,94.4275,0.500389,42.0994,35.7055,10.7306,11.4645,"Old_Male","Old","Male","ISF"
"18","Old_M_ISF","M","Old_ISF","Old","ISF",13,10.6773,2.002,1.77916,15,9.54285,10.01,1.59013,19,4.73806,1.66833,0.789503,23,5.13845,9.87651,0.856221,36.5618,25.3531,25.631,12.4541,"Old_Male","Old","Male","ISF"
"19","Old_M_ISF","M","Old_ISF","Old","ISF",7,4.80479,28.4951,0.800623,4,2.4024,4.87152,0.400311,15,3.73706,28.3616,0.622706,9,1.73506,4.73806,0.289113,11.5423,73.0902,9.10708,6.26042,"Old_Male","Old","Male","ISF"
"20","Mid_F_ISF","F","Mid_ISF","Mid","ISF",11,10.1434,1.8018,1.6902,6,7.54085,81.6147,1.25653,23,4.07072,1.6016,0.678305,11,1.86853,81.4812,0.311353,15.8123,37.7738,23.6295,22.7844,"Mid_Female","Mid","Female","ISF"
"21","Old_M_CNT","M","Old_CNT","Old","CNT",9,5.47212,0.400399,0.91182,8,5.73905,7.07372,0.956299,17,3.87053,0.066733,0.644946,15,2.66933,6.94025,0.444791,22.2618,51.7514,9.66307,16.3238,"Old_Male","Old","Male","CTR"
"22","Mid_M_CNT","M","Mid_CNT","Mid","CNT",7,3.60359,5.80579,0.600467,9,6.60659,22.3556,1.10086,17,4.87153,5.27192,0.811743,16,2.93626,22.1554,0.489269,17.9695,61.7369,12.165,8.12854,"Mid_Male","Mid","Male","CTR"
"23","Old_M_CNT","M","Old_CNT","Old","CNT",9,8.80878,176.643,1.46781,10,6.47312,2.86953,1.07862,20,4.20419,161.227,0.700545,19,3.33666,2.26893,0.555988,23.4738,52.085,14.3223,10.119,"Old_Male","Old","Male","CTR"
"24","Mid_F_CNT","F","Mid_CNT","Mid","CNT",5,3.93726,217.217,0.656066,4,2.002,99.9663,0.333593,10,2.40239,216.883,0.400311,8,3.00299,99.0988,0.500389,48.371,42.6554,3.56944,5.4042,"Mid_Female","Mid","Female","CTR"
"25","Mid_F_ISF","F","Mid_ISF","Mid","ISF",26,20.4871,62.8627,3.41757,26,23.8238,22.6226,3.97417,52,19.0857,62.0619,3.18379,45,10.9442,22.4224,1.82567,27.0288,29.9788,21.7077,21.2846,"Mid_Female","Mid","Female","ISF"
"26","Mid_F_CNT","F","Mid_CNT","Mid","CNT",15,10.8108,168.435,1.8014,25,22.8228,48.0479,3.80296,27,8.20818,168.301,1.36773,46,11.2112,47.781,1.86812,48.5378,12.443,14.4557,24.5635,"Mid_Female","Mid","Female","CTR"
"27","Mid_F_CNT","F","Mid_CNT","Mid","CNT",10,6.67332,28.762,1.11198,17,13.8138,23.023,2.30179,20,4.33766,28.6285,0.722784,36,8.94225,22.6893,1.49005,45.9802,24.2856,10.8084,18.9258,"Mid_Female","Mid","Female","CTR"
"28","Mid_F_ISF","F","Mid_ISF","Mid","ISF",17,7.94125,5.60559,1.32325,13,10.2102,0.467132,1.70132,37,10.4104,5.47212,1.73468,35,7.27392,0.266932,1.21205,27.2657,19.8043,31.1353,21.7947,"Mid_Female","Mid","Female","ISF"
"29","Old_M_CNT","M","Old_CNT","Old","CNT",19,12.012,3.53686,2.00156,24,16.0827,0.800798,2.67986,39,7.27392,3.40339,1.21205,54,11.0777,0.667332,1.84588,21.0275,37.0622,17.2467,24.6636,"Old_Male","Old","Male","CTR"
"30","Old_M_ISF","M","Old_ISF","Old","ISF",43,33.7003,1.93526,5.61548,16,10.744,69.536,1.79028,80,21.1544,1.8018,3.52496,33,7.07372,69.4693,1.17869,5.79339,36.8509,44.5124,12.8433,"Old_Male","Old","Male","ISF"
"31","Old_M_CNT","M","Old_CNT","Old","CNT",20,11.1444,153.153,1.857,11,8.27492,148.548,1.37885,38,14.4144,153.019,2.40187,25,6.80679,148.348,1.13422,39.9644,31.7914,15.8345,12.4097,"Old_Male","Old","Male","CTR"
"32","Old_M_CNT","M","Old_CNT","Old","CNT",12,4.73806,113.58,0.789503,20,13.2132,5.80579,2.20171,25,5.00499,30.8975,0.833982,47,8.80878,5.67232,1.46781,30.3681,27.6771,17.4358,24.5191,"Old_Male","Old","Male","CTR"
"33","Old_M_ISF","M","Old_ISF","Old","ISF",14,7.80779,1.13446,1.30101,10,6.33965,8.67532,1.05638,27,4.60459,1.001,0.767263,24,8.54185,8.47512,1.42333,22.7399,39.9644,16.0792,21.2165,"Old_Male","Old","Male","ISF"
"34","Mid_M_ISF","M","Mid_ISF","Mid","ISF",29,22.2222,17.6176,3.70288,18,12.2122,21.4881,2.03492,58,14.0807,17.3506,2.34627,38,11.4114,21.4214,1.90148,18.937,15.0784,37.0844,28.9003,"Mid_Male","Mid","Male","ISF"
"35","Old_M_CNT","M","Old_CNT","Old","CNT",48,29.6963,2.53586,4.94829,24,16.4164,8.60858,2.73546,94,21.8218,2.26893,3.63616,58,12.4791,0,2.0794,14.1443,11.5201,42.433,31.9026,"Old_Male","Old","Male","CTR"
"36","Mid_M_ISF","M","Mid_ISF","Mid","ISF",22,15.1484,4.53786,4.76991,25,23.8238,8.20818,7.50158,47,8.87552,4.20419,2.79471,53,13.5468,8.07472,4.2656,8.78336,10.7586,33.8096,46.6485,"Mid_Male","Mid","Male","ISF"
"37","Old_M_ISF","M","Old_ISF","Old","ISF",15,11.5448,26.9602,1.92372,28,21.6216,36.5031,3.6028,29,7.80779,26.8267,1.30101,52,12.9462,36.3029,2.15723,31.1909,27.6882,16.991,24.1299,"Old_Male","Old","Male","ISF"
"39","Mid_M_CNT","M","Mid_CNT","Mid","CNT",31,20.3536,4.33766,3.39153,31,20.9542,2.33566,3.4916,62,17.3506,4.07072,2.89114,79,36.5031,0,6.08251,17.9918,16.3683,32.6365,33.0034,"Mid_Male","Mid","Male","CTR"
"40","Mid_F_CNT","F","Mid_CNT","Mid","CNT",19,11.8118,1.26793,1.9682,10,4.73806,6.13945,0.789503,43,19.1524,1.06773,3.19137,34,13.6803,6.00599,2.27955,15.045,28.9892,31.1687,24.7971,"Mid_Female","Mid","Female","CTR"
"41","Mid_F_CNT","F","Mid_CNT","Mid","CNT",9,6.87352,47.3138,1.14534,17,9.47611,14.748,1.57901,93,545.677,0,90.9263,41,11.2112,2.20219,1.86812,23.8964,31.6802,18.9147,25.5087,"Mid_Female","Mid","Female","CTR"
"42","Mid_M_ISF","M","Mid_ISF","Mid","ISF",17,7.94125,8.87552,1.32325,17,6.94025,6.07272,1.15646,102,534.8,0,89.1138,40,14.748,5.93925,2.45747,33.0813,16.2793,19.0259,31.6135,"Mid_Male","Mid","Male","ISF"
"43","Mid_M_CNT","M","Mid_CNT","Mid","CNT",16,7.34065,32.4991,1.22317,7,3.33666,9.54285,0.555988,80,548.347,0,91.3711,27,8.27491,9.40938,1.37885,17.3913,11.0642,32.6254,38.9192,"Mid_Male","Mid","Male","CTR"
"44","Mid_F_ISF","F","Mid_ISF","Mid","ISF",11,7.94125,68.535,1.32325,10,4.67132,3.80379,0.778383,65,554.953,0,92.4719,22,6.53986,3.60359,1.08974,9.78539,48.3265,25.9758,15.9124,"Mid_Female","Mid","Female","ISF"
"45","Mid_F_ISF","F","Mid_ISF","Mid","ISF",22,13.6803,21.8885,2.27955,18,7.14045,19.6863,1.18981,90,527.392,0,87.8795,46,19.3526,0.734065,3.22473,25.1863,18.481,31.0686,25.2641,"Mid_Female","Mid","Female","ISF"
"46","Mid_F_ISF","F","Mid_ISF","Mid","ISF",25,11.4114,18.4184,1.90148,19,6.13945,12.8128,1.02302,64,18.6186,18.2182,3.10241,56,17.4841,12.4124,2.91338,12.5431,22.6621,40.02,24.7748,"Mid_Female","Mid","Female","ISF"
"47","Mid_F_CNT","F","Mid_CNT","Mid","CNT",12,4.73806,31.0309,0.789503,20,9.00898,4.40439,1.50117,34,8.94225,15.6156,1.49005,43,13.0797,4.13746,2.17947,11.5312,18.4032,49.7276,20.338,"Mid_Female","Mid","Female","CTR"
"48","Mid_F_CNT","F","Mid_CNT","Mid","CNT",17,9.87651,0.600598,1.64572,21,10.5438,22.2222,1.75692,42,14.1474,0.533865,2.35739,51,18.1514,22.022,3.02457,10.953,24.4412,31.7358,32.87,"Mid_Female","Mid","Female","CTR"
"49","Old_F_ISF","F","Old_ISF","Old","ISF",8,3.67033,14.748,0.611587,9,4.13746,18.4184,0.689425,17,4.07073,14.6146,0.678306,32,11.8118,18.2849,1.9682,21.3499,20.3492,25.0528,33.2481,"Old_Female","Old","Female","ISF"
"50","Old_F_CNT","F","Old_CNT","Old","CNT",19,10.2102,24.024,1.70132,24,9.67631,3.06973,1.61236,44,10.2769,23.8238,1.71244,56,18.6186,2.93626,3.10241,18.1808,28.1441,28.0774,25.5977,"Old_Female","Old","Female","CTR"
"51","Old_F_ISF","F","Old_ISF","Old","ISF",19,8.14145,17.8845,1.35661,17,12.8128,0,2.13499,47,13.3466,17.751,2.22395,47,13.4134,0.600598,2.23507,24.8971,29.434,19.3595,26.3094,"Old_Female","Old","Female","ISF"
"52","Mid_F_CNT","F","Mid_CNT","Mid","CNT",12,5.00499,63.53,0.853437,13,6.60659,0.734065,1.12654,25,6.13945,63.4633,1.04688,29,6.33965,0.533865,1.08102,26.832,35.2185,14.1102,23.8393,"Mid_Female","Mid","Female","CTR"
"53","Mid_M_CNT","M","Mid_CNT","Mid","CNT",21,17.0837,1.33466,2.84666,27,12.9462,21.9552,2.15723,53,17.017,1.2012,2.83554,60,17.3506,11.0777,2.89114,13.188,17.6471,41.8548,27.3101,"Mid_Male","Mid","Male","CTR"
"54","Mid_F_ISF","F","Mid_ISF","Mid","ISF",28,9.00898,20.2202,1.50117,22,16.8835,0.734065,2.8133,76,27.6275,3.80379,4.60358,57,18.0847,0.600598,3.01346,18.7368,18.5255,35.2052,27.5325,"Mid_Female","Mid","Female","ISF"
"55","Mid_F_ISF","F","Mid_ISF","Mid","ISF",6,2.73606,30.8307,0.455911,11,7.20718,88.4215,1.20093,25,7.94125,10.3436,1.32325,26,7.94125,14.8148,1.32325,16.8576,13.8886,46.2916,22.9623,"Mid_Female","Mid","Female","ISF"
"56","Mid_M_ISF","M","Mid_ISF","Mid","ISF",24,12.0787,63.8637,2.01268,19,9.47611,18.2849,1.57901,51,9.27591,27.6943,1.54565,54,14.2142,18.2182,2.36851,24.2522,17.18,27.3212,31.2465,"Mid_Male","Mid","Male","ISF"
"57","Mid_M_CNT","M","Mid_CNT","Mid","CNT",21,9.67631,6.07272,1.61237,29,12.3456,2.20219,2.05715,49,8.67531,5.93925,1.44557,64,17.4174,1.93526,2.90226,24.0409,15.6566,25.4309,34.8716,"Mid_Male","Mid","Male","CTR"
"58","Mid_M_CNT","M","Mid_CNT","Mid","CNT",18,8.40839,73.1396,1.40109,24,13.6136,0.934264,2.26843,46,11.745,53.52,1.95708,55,12.8128,0.800798,2.135,20.5938,22.2062,28.5667,28.6334,"Mid_Male","Mid","Male","CTR"
"60","Old_M_CNT","M","Old_CNT","Old","CNT",24,11.9452,24.4911,1.99044,24,12.9462,9.27591,2.15723,49,8.67531,24.2909,1.44557,50,11.9452,9.14245,1.99044,18.1808,22.1617,31.2243,28.4332,"Old_Male","Old","Male","CTR"
"61","Mid_M_ISF","M","Mid_ISF","Mid","ISF",35,18.7854,0.266932,3.13056,32,13.8471,36.9702,2.30761,78,19.4527,0.166833,3.24177,88,27.9278,7.64095,4.65413,17.3932,19.8955,30.2213,32.49,"Mid_Male","Mid","Male","ISF"
"62","Mid_F_ISF","F","Mid_ISF","Mid","ISF",17,9.60958,29.3292,1.60142,26,14.2142,0.200199,2.36877,35,5.77242,29.2291,0.961966,55,12.8795,0.133466,2.14635,23.5598,29.6986,17.5767,29.1648,"Mid_Female","Mid","Female","ISF"
"63","Old_F_CNT","F","Old_CNT","Old","CNT",81,40.8407,2.53586,6.80605,64,26.1928,35.8691,4.36499,144,41.2745,2.30229,6.87834,114,28.5952,35.8024,4.76535,17.4155,14.3683,36.6715,31.5447,"Old_Female","Old","Female","CTR"
"64","Old_F_ISF","F","Old_ISF","Old","ISF",18,9.84315,1.83516,1.64035,16,5.30529,13.2132,0.884119,37,6.53985,1.5015,1.08986,24,3.63696,13.013,0.606094,17.1486,57.6123,15.1968,10.0423,"Old_Female","Old","Female","ISF"
"65","Mid_M_ISF","M","Mid_ISF","Mid","ISF",56,24.6246,17.0503,4.10365,50,16.75,2.76943,2.79137,109,26.8267,6.90689,4.47064,92,25.9926,2.66933,4.33163,9.92549,19.2226,47.6535,23.1984,"Mid_Male","Mid","Male","ISF"
"66","Mid_M_CNT","M","Mid_CNT","Mid","CNT",24,13.6803,13.6803,2.2798,16,6.70669,71.2043,1.11766,53,22.6226,13.5802,3.77002,39,10.3436,28.5952,1.72375,22.1475,15.5694,43.8723,18.4108,"Mid_Male","Mid","Male","CTR"
"67","Old_F_ISF","F","Old_ISF","Old","ISF",21,9.07572,17.8845,1.51229,18,9.14245,28.4951,1.52341,43,13.747,17.751,2.29067,41,15.6156,28.2949,2.60202,15.7456,33.4927,22.9957,27.766,"Old_Female","Old","Female","ISF"
"68","Mid_M_CNT","M","Mid_CNT","Mid","CNT",9,3.33666,140.473,0.555988,14,7.27392,30.8975,1.21205,22,6.47312,25.3586,1.07862,30,6.47312,30.2301,1.07862,6.24931,61.2143,14.6892,17.8472,"Mid_Male","Mid","Male","CTR"
"69","Mid_M_ISF","M","Mid_ISF","Mid","ISF",6,3.80379,63.5967,0.633826,8,3.73706,22.1554,0.622707,15,4.40439,63.3965,0.733904,15,2.20219,22.022,0.366951,25.6644,45.1796,16.7464,12.4097,"Mid_Male","Mid","Male","ISF"
"70","Mid_F_CNT","F","Mid_CNT","Mid","CNT",16,6.60658,15.8825,1.10086,14,5.27192,56.1894,0.878461,44,18.6186,6.53985,3.10241,37,18.8188,55.9224,3.13577,19.8821,9.65195,28.2219,42.244,"Mid_Female","Mid","Female","CTR"
"71","Mid_F_ISF","F","Mid_ISF","Mid","ISF",21,6.60659,0.934264,1.10086,11,3.47012,6.13945,0.578227,59,19.2192,0.867531,3.20249,39,11.5448,6.00599,1.92372,12.5987,11.6646,55.8768,19.8599,"Mid_Female","Mid","Female","ISF"
"72","Old_F_ISF","F","Old_ISF","Old","ISF",10,5.07172,11.2112,0.845102,3,0.734065,323.389,0.122317,24,5.33866,11.0777,0.889581,16,5.33866,19.3526,0.889581,19.315,10.8529,30.4348,39.3973,"Old_Female","Old","Female","ISF"
"73","Old_F_ISF","F","Old_ISF","Old","ISF",11,8.00798,26.8935,1.33437,10,4.93826,5.00499,0.822862,26,3.53686,26.6265,0.589348,27,6.20619,4.87152,1.03414,28.1997,22.2506,25.8868,23.6628,"Old_Female","Old","Female","ISF"
"74","Old_F_ISF","F","Old_ISF","Old","ISF",4,2.40239,7.27392,0.487739,9,4.13746,18.0847,0.839995,14,5.07172,7.14045,1.02967,22,14.9482,17.5508,3.03482,11.9361,16.3663,12.3019,59.3957,"Old_Female","Old","Female","ISF"
"75","Old_F_CNT","F","Old_CNT","Old","CNT",18,10.744,25.6923,1.79028,17,11.5448,34.4343,1.92372,37,9.80978,25.6255,1.63461,34,10.01,34.3676,1.66796,23.8852,13.0324,42.6443,20.4381,"Old_Female","Old","Female","CTR"
"76","Old_F_CNT","F","Old_CNT","Old","CNT",11,5.93925,12.9462,0.989879,7,5.87252,0.133466,0.978757,27,6.67332,13.9472,1.11222,21,7.07372,0,1.17896,16.1384,13.4579,53.3756,17.0281,"Old_Female","Old","Female","CTR"
"77","Old_F_CNT","F","Old_CNT","Old","CNT",6,3.53686,91.2243,0.589347,6,2.46913,24.4244,0.411431,17,4.00399,16.3496,0.667185,19,4.00399,24.2242,0.667185,34.449,15.69,19.2149,30.6461,"Old_Female","Old","Female","CTR"
"78","Old_F_CNT","F","Old_CNT","Old","CNT",1,0.2002,381.914,0.033359,5,1.66833,15.6823,0.277994,7,7.94125,244.043,1.32325,16,11.2112,15.3486,1.86812,8.26198,45.9913,29.156,16.5907,"Old_Female","Old","Female","CTR"
"79","Old_F_CNT","F","Old_CNT","Old","CNT",0,0,0,0,1,0.800798,456.789,0.133437,2,1.001,4.93826,0.166797,3,1.001,62.9961,0.166796,26.1092,37.3068,19.4818,17.1022,"Old_Female","Old","Female","CTR"
"80","Mid_M_CNT","M","Mid_CNT","Mid","CNT",4,2.73606,168.902,0.45591,9,5.00499,7.00699,0.833982,11,9.74305,82.9494,1.62349,27,9.27591,6.87352,1.54565,24.6859,19.8265,29.6898,25.7978,"Mid_Male","Mid","Male","CTR"
"81","Mid_M_ISF","M","Mid_ISF","Mid","ISF",4,1.66833,258.524,0.277994,7,6.33965,249.249,1.05638,12,5.60559,60.3935,0.93406,18,6.53985,249.115,1.08974,23.1291,53.4749,10.8195,12.5764,"Mid_Male","Mid","Male","ISF"
"82","Mid_F_ISF","F","Mid_ISF","Mid","ISF",9,7.80778,95.9623,1.30101,7,5.47212,216.149,0.91182,20,7.20719,20.6206,1.20093,16,8.80878,108.308,1.46781,49.0381,25.5198,14.5002,10.9418,"Mid_Female","Mid","Female","ISF"
"89","Young_F_CNT","F","Young_CNT","Young","CNT",5,28,16.5498,0.600598,2.7577,36,16.4164,12.2789,2.73546,61,16.4831,0.200199,2.74658,81,15.749,3.13646,2.62426,32.4697,26.1203,14.1999,"Young_Female","Young","Female","CTR"
"90","Young_F_CNT","F","Young_CNT","Young","CNT",5,28,12.012,1.06773,1.87911,39,15.8825,24.0907,2.4846,59,10.9442,0.867531,1.71208,74,17.751,4.27092,2.77691,24.9504,27.1218,22.7477,"Young_Female","Young","Female","CTR"
"91","Young_F_CNT","F","Young_CNT","Young","CNT",6,52,20.4871,0,3.27572,84,36.6365,5.00499,5.85787,96,21.2879,0.533865,3.40376,179,40.5738,4.73806,6.48741,22.4498,52.0807,12.3986,"Young_Female","Young","Female","CTR"
"92","Young_M_ISF","M","Young_ISF","Young","ISF",6,11,3.93726,118.318,0.635502,20,11.4114,5.93925,1.84188,24,5.87252,24.4911,0.947867,47,14.014,5.80579,2.26196,31.9044,32.3891,21.8117,"Young_Male","Young","Male","ISF"
"93","Young_M_ISF","M","Young_ISF","Young","ISF",6,49,15.8158,13.9472,2.5817,53,22.022,6.40639,3.59477,99,21.6215,13.8805,3.52941,112,27.6276,6.27292,4.50981,38.4749,37.1242,10.2723,"Young_Male","Young","Male","ISF"
"94","Young_M_CNT","M","Young_CNT","Young","CNT",6,23,10.4104,6.87352,1.67796,43,24.2909,4.20419,3.91524,56,21.021,6.80679,3.38819,93,22.2222,4.13746,3.5818,26.998,38.2166,16.7258,"Young_Male","Young","Male","CTR"
"95","Old_F_CNT ","F","Old_CNT ","Old","CNT ",23,20,9.47612,16.6166,1.57901,29,11.6116,3.40339,1.93484,42,8.20818,16.4831,1.36773,62,11.5448,3.00299,1.92372,16.1348,39.3528,24.9305,"Old_Female","Old","Female","CTR"
"96","Old_F_ISF","F","Old_ISF","Old","ISF",22,18,7.94125,27.6943,1.32325,21,12.6793,35.9025,2.11275,57,17.017,7.40738,2.83554,45,12.3456,35.769,2.05716,34.2822,27.2212,20.8162,"Old_Female","Old","Female","ISF"
"97","Young_F_ISF","F","Young_ISF","Young","ISF",5,22,9.74305,18.8188,1.62348,18,6.20619,10.2102,1.03414,51,15.9492,1.33466,2.65762,35,6.60659,10.0767,1.10086,29.9233,17.6359,16.8909,"Young_Female","Young","Female","ISF"
"98","Young_F_ISF","F","Young_ISF","Young","ISF",5,29,12.8795,0,2.14611,46,28.2949,3.33666,4.71478,63,12.1454,0.066733,2.0238,86,19.2192,3.26993,3.20249,29.2783,40.2647,18.1586,"Young_Female","Young","Female","ISF"
"99","Young_M_ISF","M","Young_ISF","Young","ISF",4,12,5.60559,5.53885,0.93406,20,8.40838,45.1784,1.40109,25,6.40639,5.47212,1.0675,34,9.27592,28.6953,1.54565,24.0632,26.3094,23.3737,"Young_Male","Young","Male","ISF"
"100","Young_M_CNT ","M","Young_CNT ","Young","CNT ",5,40,20.02,2.73606,3.33593,36,14.0807,10.1434,2.34627,65,16.016,2.66933,2.66874,55,8.47511,10.0767,1.41221,34.5491,15.3119,16.0347,"Young_Male","Young","Male","CTR"
