"Animal_ID","Sex","Age","Light","F_nose_frequency","F_obj_nose_duration_s","F_obj_nose_latency","N_obj_nose_frequency","N_obj_nose_duration_s","N_obj_nose_latency","N_obj_nose_duration_percentage","F_zone_nose_frequency","F_zone_nose_duration_percentage","F_zone_nose_duration_s","FObj_nose_freq","N_zone_nose_frequency","N_zone_nose_duration_s","N_zone_nose_latency","N_zone_nose_duration_percentage","Q1_body_percentage","Q2_body_percentage","Q3_body_percentage","Q4_body_percentage","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"1","M","Old","CTR",3,4.20419,101.768,0.700545,6,4.67133,6.13945,1.2012,6,101.568,0.200156,10,1.46813,6.00599,0.244634,14.7337,70.844,8.40654,6.01579,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"2","M","Mid ","CTR",12,7.60758,34.1007,1.26765,16,22.3556,0.333666,4.33766,22,33.9005,0.722784,30,5.40539,0.200199,0.9007,31.8804,43.178,12.6765,12.2651,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"3","M","Mid ","ISF",28,18.018,3.80379,3.00234,30,32.0319,14.6813,17.4841,56,3.67033,2.91338,46,12.746,14.4811,2.12387,21.9282,35.2608,21.7058,21.1053,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"4","M","Old","CTR",8,10.2102,41.6415,1.70132,18,45.6455,17.2839,7.47412,18,41.4413,1.24541,30,34.1674,17.1504,5.69332,5.79339,19.8043,46.2693,28.133,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"5","M","Mid ","ISF",14,14.2142,139.339,2.36851,29,50.4503,3.06973,5.87252,24,139.139,0.978539,53,10.4104,2.93626,1.73468,29.4006,35.0717,21.2054,14.3,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"6","M","Old","ISF",5,4.33766,226.693,0.722785,11,11.4781,5.73905,7.27392,16,143.009,1.21205,29,7.87451,5.53885,1.31213,11.8314,20.2046,41.3321,26.6318,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"7","M","Old","ISF",14,8.54185,117.05,1.42333,21,25.3586,2.53586,8.20818,29,0,1.36773,47,16.3496,2.40239,2.72434,19.8043,18.6034,37.974,23.6184,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"8","M","Old","CTR",3,1.13446,319.385,0.189036,8,17.751,15.1484,0.800799,5,319.252,0.133437,17,4.47113,14.8815,0.745024,6.70521,54.042,31.7803,7.47248,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"9","M","Old","ISF",8,5.73906,165.231,0.956299,15,14.2142,167.1,8.07472,23,32.5658,1.34549,27,9.20918,166.966,1.53453,10.4303,30.5015,30.8351,28.2331,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"10","M","Mid ","CTR",20,24.8247,285.218,4.13655,32,36.1027,20.8875,12.8795,36,285.084,2.14611,61,12.4791,20.5538,2.0794,14.0109,22.8177,46.0024,17.1689,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"11","M","Mid ","ISF",10,10.4104,15.015,1.73468,39,156.69,11.5448,5.47212,20,14.8815,0.911821,78,16.6166,11.011,2.76882,12.632,11.7425,52.1962,22.006,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"12","M","Mid ","CTR",17,14.2142,70.4035,2.36851,24,45.2451,8.27492,6.07272,31,70.1366,1.0119,55,15.3486,8.07472,2.55755,16.8353,30.5682,30.0456,22.5509,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"14","M","Old","ISF",3,1.33466,13.8805,0.222395,5,6.27292,41.9752,0.934265,6,13.6803,0.155677,11,2.46913,41.7082,0.411431,6.6941,65.7845,16.1348,11.3866,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"15","M","Old","CTR",11,4.53786,17.8178,0.756143,18,31.2979,6.00599,6.74005,23,17.6176,1.1231,37,11.2779,5.80579,1.87924,22.0616,32.9478,25.2085,19.7821,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"16","M","Old","ISF",8,5.93926,11.2112,0.989659,26,68.6685,154.621,3.47013,16,11.011,0.578227,52,17.8178,143.81,2.96898,11.5312,20.8162,50.1946,17.458,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"17","M","Old","ISF",10,6.33965,1.26793,1.05638,10,23.9572,9.40938,3.53686,19,1.06773,0.589347,27,12.2789,6.07272,2.04604,18.1697,47.9929,19.3817,14.4557,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"18","M","Old","ISF",5,4.67132,17.751,0.778383,10,35.0349,4.80479,1.93526,11,17.6176,0.322473,30,12.8128,4.60459,2.13499,15.045,8.62893,54.598,21.728,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"19","M","Old","ISF",5,5.53885,26.1594,0.92294,2,5.40539,548.013,3.2032,10,25.8925,0.533749,4,0.600599,547.946,0.100078,48.0818,3.92528,4.3923,43.6006,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"20","F","Mid ","ISF",3,3.26993,406.072,0.544868,11,24.4911,44.8447,0.867532,6,405.938,0.144557,23,4.13745,44.5778,0.689424,29.4118,49.8165,13.8219,6.94985,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"21","M","Old","CTR",2,1.06773,383.249,0.177916,13,14.9482,291.491,0.667333,4,382.982,0.111198,23,6.80678,291.357,1.13421,21.5056,66.1515,9.01813,3.32481,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"22","M","Mid ","CTR",7,4.33766,37.4373,0.722784,17,15.9492,47.1136,5.60559,15,37.2371,0.93406,28,6.67332,46.8467,1.11198,4.77038,73.7685,11.5979,9.86323,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"23","M","Old","CTR",9,5.27192,49.0489,0.878461,13,23.6903,37.5708,6.53985,20,48.7152,1.08974,30,6.40638,37.4373,1.0675,40.2647,23.6184,17.269,18.848,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"24","F","Mid ","CTR",1,0.333666,391.057,0.055599,2,1.001,393.659,0.266933,2,390.856,0.044479,4,0.667332,393.526,0.111198,79.4062,18.8369,0.767263,0.989659,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"25","F","Mid ","ISF",22,13.6136,170.57,2.26843,12,44.9782,112.179,25.1584,48,170.437,4.19215,23,4.20419,112.045,0.700545,40.5538,26.1537,15.2786,18.014,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"26","F","Mid ","CTR",10,3.47013,23.757,0.578227,22,36.9702,9.94325,8.07472,24,23.5568,1.34549,49,11.2112,9.80978,1.86812,11.0753,49.4607,25.3419,14.1221,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"27","F","Mid ","CTR",12,6.53985,251.184,1.08974,17,38.8387,51.3178,8.54185,26,250.984,1.42333,35,7.34065,51.1844,1.22317,36.0169,31.4244,16.0125,16.5462,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"28","F","Mid ","ISF",8,10.744,1.06773,1.79028,6,6.87352,62.5957,7.27392,18,0.934264,1.21205,15,5.40539,62.3955,0.9007,5.44868,12.0427,68.3865,14.1221,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"29","M","Old","CTR",13,8.14145,10.1434,1.35661,13,17.0837,12.8128,5.33865,29,9.87651,0.88958,28,4.67133,12.6793,0.778384,4.8371,41.5879,39.0526,14.5224,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"30","M","Old","ISF",13,6.87352,130.13,1.14533,16,52.2521,9.27591,6.87352,29,3.13646,1.14534,27,6.80679,9.14245,1.13422,2.16835,58.2231,24.0409,15.5677,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"31","M","Old","CTR",12,6.47312,35.9025,1.07862,30,27.0937,2.46913,12.746,36,10.8775,2.12387,60,17.4174,2.40239,2.90226,20.5604,26.5429,24.8082,28.0885,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"32","M","Old","CTR",10,5.93926,46.5798,0.989659,17,25.3586,54.7212,4.07072,21,23.023,0.678305,38,7.07372,34.3676,1.17869,29.0337,33.6373,16.9354,20.3936,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"33","M","Old","ISF",12,6.80679,72.9394,1.13422,18,19.4861,0,7.40738,26,72.7392,1.23429,43,19.6196,0.400399,3.26921,17.4914,37.1289,23.7852,21.5946,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"34","M","Mid ","ISF",10,7.07372,47.1804,1.17869,48,119.252,3.53686,5.33866,24,12.746,0.889581,83,34.0339,4.53786,5.67108,18.014,19.1371,17.736,45.1129,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"35","M","Old","CTR",20,13.5468,3.73706,2.25731,58,139.072,8.34165,13.0797,42,3.53686,2.17947,99,35.1684,8.20818,5.86011,10.6527,9.72979,23.4849,55.3764,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"36","M","Mid ","ISF",23,11.011,7.07372,1.83476,66,96.6297,1.13446,13.8138,45,6.94025,2.30179,120,39.8397,1.001,6.6385,17.0911,8.33982,16.435,55.5654,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"37","M","Old","ISF",13,8.80878,91.4912,1.46781,58,97.3637,6.47312,9.20918,25,26.8267,1.53453,88,26.1594,6.27292,4.35894,14.578,16.713,16.7797,50.2168,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"39","M","Mid ","CTR",6,5.80579,266.332,0.967419,35,88.0878,98.2313,3.00299,13,266.199,0.500389,71,34.1674,92.7591,5.69332,19.6041,10.4081,18.9258,51.0619,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"40","F","Mid ","CTR",8,4.47112,158.758,0.745024,14,19.0857,85.3518,12.1454,24,98.7651,2.0238,35,19.8198,85.2183,3.30257,23.1513,22.373,30.8462,23.6295,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"41","F","Mid ","CTR",11,4.87152,130.33,0.811743,20,26.3596,13.6136,7.80778,34,11.6783,1.30101,40,10.5438,13.4801,1.75692,8.08407,23.5739,45.0684,23.2737,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"42","M","Mid ","ISF",6,2.80279,32.2321,0.46703,17,27.2271,5.60559,6.53985,23,31.3646,1.08974,37,8.27492,5.47212,1.37885,18.103,19.3039,31.38,31.2132,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"43","M","Mid ","CTR",10,3.80379,268.067,0.633826,27,38.772,210.076,6.00599,24,213.546,1.00078,61,26.3596,175.575,4.39231,13.9664,9.12932,16.7797,60.1134,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"44","F","Mid ","ISF",5,2.13546,134.267,0.355832,18,50.3836,66.8667,2.93626,10,134.134,0.489269,37,14.3476,66.7332,2.39075,39.0415,23.6517,11.9871,25.3197,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"45","F","Mid ","ISF",13,7.74105,141.741,1.28989,39,45.512,30.764,10.3436,27,28.0947,1.72356,65,29.0957,30.6973,4.84822,12.9656,17.8139,34.9939,34.0042,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"46","F","Mid ","ISF",17,5.13846,12.3456,0.856222,55,46.9134,4.73806,12.2122,45,12.2789,2.03492,96,37.1704,4.60459,6.19371,14.9783,9.81875,20.0156,53.2303,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"47","F","Mid ","CTR",11,4.73806,277.276,0.789503,24,19.753,11.9452,9.07571,27,17.4174,1.51229,55,28.4283,11.6116,4.73702,28.6111,7.11665,22.2395,41.9437,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"48","F","Mid ","CTR",6,2.13546,152.285,0.355832,27,46.1794,44.778,6.47312,19,151.885,1.07862,40,16.2829,42.3088,2.71322,35.9724,8.81797,25.2196,27.7883,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"49","F","Old","ISF",5,1.6016,199.599,0.266874,43,41.8417,7.54085,5.73905,17,71.4045,0.956299,63,19.3526,7.34065,3.22473,33.1035,8.3287,19.1371,35.9391,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"50","F","Old","CTR",14,6.40639,31.0977,1.0675,45,60.3268,21.1544,10.8108,34,19.5528,1.8014,61,493.092,0,82.1639,12.2873,16.4239,35.7723,34.9605,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"51","F","Old","ISF",5,1.93526,457.923,0.322473,36,44.4443,26.3596,8.00798,23,42.1754,1.33437,59,514.246,0,85.6889,11.5646,20.5382,26.5651,41.321,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"52","F","Mid ","CTR",12,3.87052,54.7212,0.644946,29,66.6665,2.80279,7.80778,25,54.3876,1.30101,45,500.099,0,83.3315,14.8894,27.7994,17.9473,39.3306,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"53","M","Mid ","CTR",20,7.07372,73.6067,1.17869,49,106.907,5.07172,20.6873,52,0.333666,3.44713,68,416.082,0,69.3317,4.35895,9.15156,35.9391,49.3829,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"54","F","Mid ","ISF",13,4.53786,72.2721,0.756144,42,54.0539,102.903,24.2909,50,71.8717,4.04759,84,491.423,0,81.8859,13.8997,23.7407,28.9447,33.3815,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"55","F","Mid ","ISF",15,4.60459,142.876,0.767263,61,55.522,3.87052,20.1534,52,75.2083,3.35817,117,32.4323,3.67033,5.4042,6.33826,10.586,35.2163,46.425,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"56","M","Mid ","ISF",21,5.60559,45.8457,0.93406,59,52.1854,33.3666,19.8865,60,27.9612,3.31369,114,38.2381,13.6803,6.37162,14.111,10.2635,30.5237,43.0112,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"57","M","Mid ","CTR",46,26.2929,38.4383,4.38119,27,30.4971,18.2182,42.8427,105,6.80679,7.13889,60,18.8188,17.5508,3.13577,13.555,15.7011,42.8222,27.8995,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"58","M","Mid","CTR",16,4.87152,6.67332,0.811742,48,43.4433,4.00399,13.2799,42,6.47312,2.21283,90,31.9652,2.26893,5.32637,18.4143,15.9791,28.7668,36.6062,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"60","M","Old","CTR",7,4.87152,45.2451,0.811743,19,29.0957,3.33666,3.47012,17,0.934264,0.578227,50,20.1534,3.26993,3.35817,11.3422,21.9615,38.3521,28.3443,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"61","M","Mid ","ISF",19,11.011,38.5718,1.83476,46,49.4493,17.8845,11.0777,46,24.024,1.84588,99,36.6365,11.2779,6.10475,15.7345,22.4174,27.2434,34.6047,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"62","F","Mid ","ISF",15,8.54185,110.31,1.42333,21,17.3506,16.5498,8.14145,31,49.9164,1.35661,44,8.87551,16.3496,1.47893,26.3761,29.7787,23.7073,20.1379,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"63","F","Old","CTR",21,9.87652,30.6305,1.64572,26,45.6455,4.67132,16.4831,52,14.014,2.74658,68,23.023,4.60459,3.83632,12.8433,17.0688,44.2122,25.8757,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"64","F","Old","ISF",9,6.74005,127.327,1.1231,16,26.5598,7.74105,4.53786,21,16.2162,0.756144,32,6.20619,7.67432,1.03414,8.58445,32.0694,23.2625,36.0836,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"65","M","Mid","ISF",11,7.20719,3.87052,1.20093,28,42.8427,5.13846,5.13845,21,3.80379,0.856221,60,12.8128,5.07172,2.13499,10.9418,51.6624,24.3189,13.0768,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"66","M","Mid ","CTR",12,8.20818,226.759,1.36773,31,61.1943,131.464,9.60958,28,122.789,1.60125,61,25.2919,131.264,4.21439,16.4572,39.5085,31.4912,12.5431,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"67","F","Old","ISF",16,9.00898,72.9394,1.50117,22,28.3616,136.069,11.0777,38,72.8059,1.84588,41,10.01,134.668,1.66796,49.3384,12.8544,17.1022,20.705,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"68","M","Mid ","CTR",4,4.67132,296.229,0.778383,31,42.4423,2.33566,4.27092,15,80.2133,0.711664,91,53.2531,2.13546,8.87357,7.57256,15.4787,65.3953,11.5534,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"69","M","Mid ","ISF",7,2.13546,3.06973,0.355832,18,20.2202,9.27591,3.4034,18,2.86953,0.567109,36,6.87352,9.00898,1.14534,41.4322,18.0251,16.9243,23.6184,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"70","F","Mid ","CTR",15,6.63995,54.9882,1.10654,43,67.9344,4.33766,7.97462,31,54.788,1.32896,106,64.898,4.17082,10.8152,17.9048,7.08407,12.8281,62.1831,"Mid_Female_CTR","Mid_CTR","Mid_Female","Mid","Female_CTR","Female","CTR"
"71","F","Mid ","ISF",20,7.50749,74.4743,1.25111,54,70.4703,20.1201,12.8795,46,74.3408,2.14635,95,23.8571,19.9866,3.97576,17.5378,27.3743,18.6332,36.4268,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"72","F","Old","ISF",2,0.600598,427.56,0.100078,8,13.8805,149.482,1.001,5,427.293,0.166797,32,59.4593,148.748,9.90771,14.0331,30.179,25.8534,29.9344,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"73","F","Old","ISF",9,6.33965,546.678,1.05638,12,16.0827,20.02,3.93726,12,7.87452,0.656066,31,6.40639,19.9532,1.0675,31.9804,27.1433,17.4358,23.396,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"74","F","Old","ISF",2,1.26793,562.427,0.211275,15,64.4643,209.943,10.6773,15,363.095,1.77916,33,20.0867,15.9492,3.34705,10.9085,7.51696,13.4994,67.2301,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"75","F","Old","CTR",12,8.94225,58.1913,1.49005,36,43.4433,5.07172,10.8108,27,57.791,1.8014,74,27.8277,4.87152,4.63694,17.6137,12.8767,42.0549,27.4102,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"76","F","Old","CTR",3,1.33466,331.864,0.222395,7,4.53786,247.38,5.07172,12,46.9134,0.845102,17,5.07172,0,0.845102,9.48516,13.8663,35.5721,41.0542,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"77","F","Old","CTR",10,3.20319,138.405,0.533749,22,12.9462,4.40439,5.67232,24,27.761,0.94518,41,13.1464,4.20419,2.19059,13.277,36.306,32.0916,16.7797,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"78","F","Old","CTR",3,1.33466,263.997,0.222395,19,13.6136,2.002,10.6773,18,210.543,1.77916,39,15.8825,1.93526,2.6465,22.2618,35.6611,24.2077,16.8909,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"79","F","Old","CTR",3,1.2012,372.905,0.200156,4,2.2022,165.365,3.40339,8,372.772,0.567108,13,4.00399,165.231,0.667185,35.9724,28.9225,28.4555,6.64962,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"80","M","Mid ","CTR",5,4.60459,333.266,0.767263,12,12.5458,14.4811,8.00798,17,9.54285,1.33437,29,11.8118,15.8158,1.9682,36.6952,22.4508,19.5263,20.338,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"81","M","Mid ","ISF",9,7.07372,137.137,1.17869,18,26.2261,54.3208,6.13946,22,136.937,1.02302,35,9.34265,53.7202,1.55677,15.5788,55.8546,15.9013,12.5542,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"82","F","Mid","ISF",11,6.33965,6.00599,1.05638,33,41.6415,10.4771,16.0827,30,5.93925,2.67986,72,25.0917,10.2769,4.18103,36.0391,13.5327,28.1108,19.7487,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
